case_id,provision_opennyai,statute_metadata,provision_metadata,omission_rate
ASBR010001322018,"['11', '12'],['12']",POCSO,['12'],50.0
ASBR010003042019,"['4'],['4']",POCSO,['4'],0.0
ASBR010003392018,"['366(A) Ipc', '4', '366(A) Ipc', '4']",POCSO,['4'],0.0
ASBR010009782017,['4'],POCSO,['4'],0.0
ASBR010011522019,"['3 (A) To (D)', '3', '4']",POCSO,['4'],50.0
ASBR010013262018,['4'],POCSO,['4'],0.0
ASBR010014222017,['4'],POCSO,['4'],0.0
ASBR010018052018,"['313', '4']",POCSO,['8'],100.0
ASBR010018192018,"['12 Not U', '12/18', '11', '12', '18'],['12']",POCSO,['12'],75.0
ASBR080001152019,"['18', '8']",POCSO,['18'],50.0
ASBR080002302019,"['- 8', '8']",POCSO,['8'],50.0
ASNG010008652018,"['29', '5', '5(G)', '6', 'ec. 4', 'ec. 5(G)', 'ec.4', 'ec.6']",POCSO,['6'],75.0
ASNG010018122018,"['-29'],['-29', '-4']",POCSO,"['366(A)', '']",100.0
ASSN010000522018,"['18'],['18']",POCSO,['18'],0.0
ASSN010000912018,"['24(2)', '26', '4', '4/6', '6']",POCSO,['46'],100.0
ASSN010001342017,"['4', '7', '8']",POCSO,['4'],66.66666666666666
ASSN010002092017,"['. 3', '4']",POCSO,['4'],50.0
ASSN010002382019,"['4/6', '6']",POCSO,['4/6'],50.0
ASSN010003222017,"['18', '29', '30', '8', '. 18', '. 29', '.18', '.3', '.3 5', '.3 7', '.3 9']",POCSO,['8'],87.5
ASSN010004422017,"['4', '6']",POCSO,['6'],50.0
ASSN010004782017,"['3', '4', '6']",POCSO,['6'],66.66666666666666
ASSN010005202019,['8'],POCSO,['8'],0.0
ASSN010011242017,"['11', '12', '2 (D)', '2(D)', '8']",POCSO,['8'],66.66666666666666
ASSN010011552017,"['. 6', '4']",POCSO,['4'],50.0
ASSN010012862017,"['4'],['4'],['4']",POCSO,['4'],0.0
ASSN010013062017,['4'],POCSO,['4'],0.0
ASSN010013622017,"['Ipc And 8', '4', '8']",POCSO,['4'],66.66666666666666
ASSN010015512017,"['Ipc And 4', '3', '4', '4/6']",POCSO,['46'],100.0
ASSN010017512018,"['12', '2(D)', '3(A)', '4', '5 (M)', '6'],['4']",POCSO,['4'],66.66666666666666
ASSN070000182017,['8'],POCSO,['8'],0.0
ASSN070000452017,['8'],POCSO,['8'],0.0
ASSN070000642019,"['511/34', '8']",POCSO,['8'],50.0
ASSN070002372019,"['4', 'ec. 4']",POCSO,['4'],50.0
ASSN070002502018,['8'],POCSO,['8'],0.0
ASSN070003322018,['4'],POCSO,['4'],0.0
ASSN070004442019,['4'],POCSO,['4'],0.0
ASSN070005512018,['4'],POCSO,['4'],0.0
ASSV010001942019,"['4', '6']",POCSO,['4'],50.0
ASSV010001962017,"['10', '24', '8', '. 10', '. 8'],['9', '9(M)']",POCSO,['8'],80.0
ASSV010003112017,"['29', '8']",POCSO,['8'],0.0
ASSV010003612019,"['448/354(A)/324 Ipc', '448/354(A)/324', '448', '448 448/354(A)/326', '323', '323 323/451/354', '448', '448 448/354(A)/324 Ipc R', '448 448/354(A)/324', '448  8', '8']",POCSO,['8'],85.71428571428571
ASSV010005512019,"['10', '29', '3', '5', '6', '7', '9', '57', 'ec. 6']",POCSO,['6'],87.5
ASSV010006662017,"['29', '3', '4', '5 (I)', '5 (J) (Ii)', '5 (N)', '5', '6', '7', '9']",POCSO,['4'],83.33333333333333
ASSV010008752017,"['10', '12', '8']",POCSO,['12'],66.66666666666666
ASSV010010952017,['4'],POCSO,['4'],0.0
ASSV010011632017,"['4', '6']",POCSO,['4'],50.0
ASSV010012372017,['4'],POCSO,['6'],100.0
ASSV010013012018,"['- 376Ab', '10', '29', '3', '4', '5', '6', '7', '9 (M)', '9']",POCSO,['4'],85.71428571428571
ASSV010014162017,"['10', '12']",POCSO,['12'],50.0
ASSV090001602017,"['10', '29', '3,5,7', '8', '9']",POCSO,['10'],75.0
ASSV090001682017,"['4'],['4']",POCSO,['4'],0.0
