statute,provision_metadata,case_id,provision_preamble,provision_decision,provisions_facts,provisions_issue,provisions_analysis
POCSO,['6'],ASNG010008652018,{'6'},{'6'},"{'6', '4'}",{'6'},{'29'}
POCSO,"['366(A)', '']",ASNG010018122018,{'4'},set(),{'4'},{'4'},"{'4', '29'}"
POCSO,['4'],ASSN010001342017,{'8'},set(),"{'8', '4'}",{'8'},{'8'}
POCSO,['6'],ASSN010004782017,{'4'},set(),"{'6', '4'}",{'4'},"{'4', '3'}"
POCSO,['4'],ASSN010013622017,{'8'},{'8'},"{'4', '8'}",{'8'},{'8'}
POCSO,['8'],ASSN010005202019,{'8'},{'8'},{'8'},{'8'},{'8'}
POCSO,['4'],ASSN070002372019,{'4'},set(),{'4'},set(),set()
POCSO,['8'],ASSN070000452017,{'8'},set(),{'8'},set(),set()
POCSO,['8'],ASSN070000182017,{'8'},set(),{'8'},set(),set()
POCSO,['8'],ASSN070002502018,{'8'},set(),{'8'},set(),set()
POCSO,['46'],ASSN010000912018,set(),set(),"{'6', '26'}","{'6', '4'}",set()
POCSO,['4'],ASSN070003322018,{'4'},set(),{'4'},set(),set()
POCSO,['4'],ASSN010013062017,{'4'},set(),{'4'},{'4'},{'4'}
POCSO,['4'],ASSN010002092017,{'4'},{'4'},{'4'},{'4'},set()
POCSO,['8'],ASSN010003222017,{'8'},{'18'},{'8'},{'8'},"{'8', '18'}"
POCSO,['4/6'],ASSN010002382019,{'8'},{'6'},{'6'},{'6'},set()
POCSO,['46'],ASSN010015512017,{'4'},set(),{'6'},{'4'},{'4'}
POCSO,['4'],ASSN010011552017,{'4'},{'4'},{'4'},{'4'},set()
POCSO,['4'],ASSN010017512018,{'6'},{'4'},set(),{'6'},"{'6', '4'}"
POCSO,['8'],ASSN010011242017,{'8'},{'12'},{'8'},{'8'},"{'8', '11', '12'}"
POCSO,['4'],ASSN070004442019,{'4'},set(),{'4'},set(),set()
POCSO,['18'],ASSN010000522018,{'18'},set(),{'18'},{'18'},{'18'}
POCSO,['4'],ASSN010012862017,{'4'},set(),{'4'},{'4'},{'4'}
POCSO,['4'],ASSN070005512018,{'4'},set(),{'4'},set(),set()
POCSO,['6'],ASSN010004422017,{'4'},set(),"{'6', '4'}",{'4'},{'4'}
POCSO,['8'],ASSN070000642019,{'8'},set(),"{'8', '4'}",set(),set()
POCSO,['8'],ASSV010001962017,{'8'},set(),"{'8', '10'}",set(),set()
POCSO,['4'],ASSV090001682017,{'4'},set(),set(),set(),{'4'}
POCSO,['10'],ASSV090001602017,{'10'},set(),"{'8', '10'}",set(),set()
POCSO,['8'],ASSV010003612019,{'8'},{'8'},{'8'},set(),{'8'}
POCSO,['6'],ASSV010005512019,{'6'},{'10'},set(),set(),"{'6', '9'}"
POCSO,['12'],ASSV010008752017,{'10'},{'10'},"{'8', '12'}",set(),set()
POCSO,['4'],ASSV010006662017,{'6'},{'6'},{'4'},set(),{'6'}
POCSO,['4'],ASSV010010952017,{'4'},set(),{'4'},set(),{'4'}
POCSO,['8'],ASSV010003112017,{'8'},{'8'},{'8'},set(),{'29'}
POCSO,['6'],ASSV010012372017,{'4'},{'4'},{'6'},set(),{'4'}
POCSO,['4'],ASSV010013012018,{'6'},{'10'},{'10'},set(),set()
POCSO,['4'],ASSV010001942019,{'6'},{'6'},"{'6', '4'}",set(),{'6'}
POCSO,['4'],ASSV010011632017,{'6'},{'6'},"{'6', '4'}",set(),{'6'}
POCSO,['12'],ASSV010014162017,{'10'},{'10'},{'12'},set(),{'10'}
POCSO,['8'],ASBR010018052018,{'4'},{'4'},{'4'},set(),{'4'}
POCSO,['4'],ASBR010009782017,set(),set(),{'4'},set(),set()
POCSO,['4'],ASBR010003392018,{'4'},{'4'},{'4'},set(),{'4'}
POCSO,['8'],ASBR080002302019,{'8'},{'8'},{'8'},{'8'},set()
POCSO,['12'],ASBR010001322018,{'12'},{'12'},{'12'},set(),"{'11', '12'}"
POCSO,['4'],ASBR010013262018,{'4'},{'4'},{'4'},set(),{'4'}
POCSO,['4'],ASBR010003042019,{'4'},{'4'},{'4'},{'4'},set()
POCSO,['18'],ASBR080001152019,{'18'},{'18'},"{'8', '18'}",{'18'},set()
POCSO,['4'],ASBR010011522019,{'4'},{'4'},{'4'},set(),"{'4', '3'}"
POCSO,['12'],ASBR010018192018,{'18'},{'12'},set(),"{'18', '11', '12'}","{'11', '12'}"
POCSO,['4'],ASBR010014222017,{'4'},set(),{'4'},set(),{'4'}
